figure,panel,scientific_claim,source_file,source_hash,source_field,confirmatory_or_diagnostic,transformation,plot_script,output_file
S01,f,Static verification does not restore the retained V2 boundary.,06_experiments/stage_01d2_v2_requalification/results/stage01d2_evaluation.json,sha256:e6f1cb6e7bcd9cdebb628e0196c3dd99a0314efe219bcff5f176f2fff3f3f8ab,"final_status, gci_justified, resource_pass, disorder_status",SUPPORTED,Status-card transcription.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS01_operator_checks.svg; figS01_operator_checks.pdf; figS01_operator_checks.png
S02,a-b,Default-GC canary resource and timing evidence is displayed for all repeats.,06_experiments/stage_01dp_resource_policy/results/canary_summary.csv,sha256:f05175015e6b746ff04722496025d0513a0667e0e08cc53dc52765bc0717b31e,"rss_relative_increase, step_time_ratio, policy_gate_pass",SUPPORTED,Exact repeat bars.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS02_resource_gc.svg; figS02_resource_gc.pdf; figS02_resource_gc.png
S02,c,Frozen working-set models attribute retained storage to edge count rather than accumulated steps.,06_experiments/stage_01dr2_storage_attribution/results/edge_working_set_models.csv,sha256:8f07f85b9166fae2bc5c4aff636f5d93adfcf5dfef49379a7e9a61bdbfb39f92,"total_edge_coefficient, total_step_coefficient, confidence fields",SUPPORTED,Exact coefficients; symlog display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS02_resource_gc.svg; figS02_resource_gc.pdf; figS02_resource_gc.png
S02,d,Old-survivor storage deltas are shown for every fixed-topology control repeat.,06_experiments/stage_01dr2_storage_attribution/results/fixed_topology_summary.csv,sha256:f8db681193532fb45dcf2d771101d85047cd5cedbea7923ce4ba8e1fd4155933,"old_survivor_bytes_delta, directed_edge_count",SUPPORTED,Exact bars in source order.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS02_resource_gc.svg; figS02_resource_gc.pdf; figS02_resource_gc.png
S02,e,Storage-inventory self-retention and view/base deduplication checks retained zero deltas.,06_experiments/stage_01dr2_storage_attribution/results/inventory_validation_summary.csv,sha256:04b592c7c24898205856294f4da0d21348a0b08340ba1bbb71422772235115d9,"tensor_count_delta, unique_storage_bytes_delta",SUPPORTED,Exact repeat traces.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS02_resource_gc.svg; figS02_resource_gc.pdf; figS02_resource_gc.png
S02,f,Numerical-regression repeats remained bitwise and finite under the audited resource route.,06_experiments/stage_01dr2_storage_attribution/results/numerical_regression_summary.csv,sha256:70225824847204f5089292cad8c033a1d505e162ccb0a5812e0ed5410c290670,"maximum_absolute_difference, bitwise_and_finite_rows",SUPPORTED,Exact bars.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS02_resource_gc.svg; figS02_resource_gc.pdf; figS02_resource_gc.png
S03,a-b,The frozen spatial sequence and its support ratios are displayed directly.,06_experiments/stage_01d2_v2_requalification/results/space_results.csv,sha256:5e13450a399d903ef93a431ff177ad02dc70fe14dc4adce3c73491769ad8172b,"resolution, support_ratio, velocity_relative_l2, modal_error, kinetic_energy_error",DIAGNOSTIC_ONLY,Resolution sort; exact values; log-y for errors.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS03_mms_plateau.svg; figS03_mms_plateau.pdf; figS03_mms_plateau.png
S03,c-d,Time refinement shows a retained error plateau without a newly fitted convergence order.,06_experiments/stage_01d2_v2_requalification/results/time_results.csv,sha256:a31313c86dd1150c73d6415f8f0ab63b33bc3d8e055090843841cd0963cc1213,dt and three error fields,DIAGNOSTIC_ONLY,Descending-dt coordinate placement; log-log display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS03_mms_plateau.svg; figS03_mms_plateau.pdf; figS03_mms_plateau.png
S03,e,"All frozen disorder outcomes, including failures, remain visible.",06_experiments/stage_01d2_v2_requalification/results/disorder_results.csv,sha256:7f836754e3e619a96738febb6fd0d4385831d8427e090de85f914cf4265983aa,status and diagnostic fields,DIAGNOSTIC_ONLY,Source order; status color; log-y display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS03_mms_plateau.svg; figS03_mms_plateau.pdf; figS03_mms_plateau.png
S03,f,The frozen evaluation does not restore V2 or justify a GCI statement.,06_experiments/stage_01d2_v2_requalification/results/stage01d2_evaluation.json,sha256:e6f1cb6e7bcd9cdebb628e0196c3dd99a0314efe219bcff5f176f2fff3f3f8ab,"final_status, space_slope_velocity, gci_justified, resource_pass",SUPPORTED,Exact scalar annotation and status-card transcription.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS03_mms_plateau.svg; figS03_mms_plateau.pdf; figS03_mms_plateau.png
S04,(a),"Every frozen Stage02 static-fitting trajectory is retained, including failed and nonqualifying runs.",stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K0/seed_20261201/training_history.json,sha256:9ebccc2b15de2f2542b27ceccc14d1228ea362b90cf005896940ed0a571469ef,"rows[*].update, graph_balanced_loss",DIAGNOSTIC_ONLY,Exact history curve; log-y display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS04_stage02_all_runs.svg; figS04_stage02_all_runs.pdf; figS04_stage02_all_runs.png
S04,(a),"Every frozen Stage02 static-fitting trajectory is retained, including failed and nonqualifying runs.",stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K0/seed_20261202/training_history.json,sha256:15bdd45dad7be54318f13fbd5d457c318bbe00684403b2333a06d34498474c73,"rows[*].update, graph_balanced_loss",DIAGNOSTIC_ONLY,Exact history curve; log-y display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS04_stage02_all_runs.svg; figS04_stage02_all_runs.pdf; figS04_stage02_all_runs.png
S04,(a),"Every frozen Stage02 static-fitting trajectory is retained, including failed and nonqualifying runs.",stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K0/seed_20261203/training_history.json,sha256:6920f8e9f2723206957feba59177be57e18c0f537931b7e2d87187c120ba91f2,"rows[*].update, graph_balanced_loss",DIAGNOSTIC_ONLY,Exact history curve; log-y display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS04_stage02_all_runs.svg; figS04_stage02_all_runs.pdf; figS04_stage02_all_runs.png
S04,(b),"Every frozen Stage02 static-fitting trajectory is retained, including failed and nonqualifying runs.",stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K1/seed_20261201/training_history.json,sha256:1ee639fbc884001b5699680487f6013293140ce33cbab11629989d73e7a0e332,"rows[*].update, graph_balanced_loss",DIAGNOSTIC_ONLY,Exact history curve; log-y display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS04_stage02_all_runs.svg; figS04_stage02_all_runs.pdf; figS04_stage02_all_runs.png
S04,(b),"Every frozen Stage02 static-fitting trajectory is retained, including failed and nonqualifying runs.",stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K1/seed_20261202/training_history.json,sha256:1854cbb4d7751bac591b732be2bb4a1c4849d5e35ef0a918d0d31fdc3ea8e776,"rows[*].update, graph_balanced_loss",DIAGNOSTIC_ONLY,Exact history curve; log-y display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS04_stage02_all_runs.svg; figS04_stage02_all_runs.pdf; figS04_stage02_all_runs.png
S04,(b),"Every frozen Stage02 static-fitting trajectory is retained, including failed and nonqualifying runs.",stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K1/seed_20261203/training_history.json,sha256:ab4a29cbf88942b6b365e02f69eb6e09c3f52e37d9cf2d07fd56cce6e2d0da75,"rows[*].update, graph_balanced_loss",DIAGNOSTIC_ONLY,Exact history curve; log-y display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS04_stage02_all_runs.svg; figS04_stage02_all_runs.pdf; figS04_stage02_all_runs.png
S04,(c),"Every frozen Stage02 static-fitting trajectory is retained, including failed and nonqualifying runs.",stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K2/seed_20261201/training_history.json,sha256:0d4b0f626def91f8ea115d17d9fcd12f15a3e13b2fac4d121c7fd5230081cc26,"rows[*].update, graph_balanced_loss",DIAGNOSTIC_ONLY,Exact history curve; log-y display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS04_stage02_all_runs.svg; figS04_stage02_all_runs.pdf; figS04_stage02_all_runs.png
S04,(c),"Every frozen Stage02 static-fitting trajectory is retained, including failed and nonqualifying runs.",stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K2/seed_20261202/training_history.json,sha256:69d86e3d9eae9b1f62dfac87b27716107a1fcf2f75240e64d5a420b73f292889,"rows[*].update, graph_balanced_loss",DIAGNOSTIC_ONLY,Exact history curve; log-y display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS04_stage02_all_runs.svg; figS04_stage02_all_runs.pdf; figS04_stage02_all_runs.png
S04,(c),"Every frozen Stage02 static-fitting trajectory is retained, including failed and nonqualifying runs.",stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_1/runs/K2/seed_20261203/training_history.json,sha256:8f20f292b50a6332375f23b73b27d8b5219c79c914dadfc77f4fd328953ae6da,"rows[*].update, graph_balanced_loss",DIAGNOSTIC_ONLY,Exact history curve; log-y display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS04_stage02_all_runs.svg; figS04_stage02_all_runs.pdf; figS04_stage02_all_runs.png
S04,(d),"Every frozen Stage02 static-fitting trajectory is retained, including failed and nonqualifying runs.",stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/runs/K0/seed_20261211/training_history.json,sha256:21d22947c4548a22257712b77a9f8715f93014883e9e9cdb6c7d5d11c05e4e66,"rows[*].update, graph_balanced_loss",DIAGNOSTIC_ONLY,Exact history curve; log-y display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS04_stage02_all_runs.svg; figS04_stage02_all_runs.pdf; figS04_stage02_all_runs.png
S04,(d),"Every frozen Stage02 static-fitting trajectory is retained, including failed and nonqualifying runs.",stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/runs/K0/seed_20261212/training_history.json,sha256:d8f7cf2f67126c3804a07a46244d3b775c49fd29ac266206164a6e5db35a5b09,"rows[*].update, graph_balanced_loss",DIAGNOSTIC_ONLY,Exact history curve; log-y display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS04_stage02_all_runs.svg; figS04_stage02_all_runs.pdf; figS04_stage02_all_runs.png
S04,(d),"Every frozen Stage02 static-fitting trajectory is retained, including failed and nonqualifying runs.",stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/runs/K0/seed_20261213/training_history.json,sha256:1f9ea49122468c495cef441ce125208db39fad10f35aa40b5510bc831a11a55a,"rows[*].update, graph_balanced_loss",DIAGNOSTIC_ONLY,Exact history curve; log-y display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS04_stage02_all_runs.svg; figS04_stage02_all_runs.pdf; figS04_stage02_all_runs.png
S04,(e),"Every frozen Stage02 static-fitting trajectory is retained, including failed and nonqualifying runs.",stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/runs/K1/seed_20261211/training_history.json,sha256:2bb054483ba6fd06baeaa76992e0d5537d159f118a219aecf9174f99f1496403,"rows[*].update, graph_balanced_loss",DIAGNOSTIC_ONLY,Exact history curve; log-y display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS04_stage02_all_runs.svg; figS04_stage02_all_runs.pdf; figS04_stage02_all_runs.png
S04,(e),"Every frozen Stage02 static-fitting trajectory is retained, including failed and nonqualifying runs.",stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/runs/K1/seed_20261212/training_history.json,sha256:f8158493786dccc73d048d1413b5c59c75c5be3db8108a47a82cfd15ed2d7745,"rows[*].update, graph_balanced_loss",DIAGNOSTIC_ONLY,Exact history curve; log-y display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS04_stage02_all_runs.svg; figS04_stage02_all_runs.pdf; figS04_stage02_all_runs.png
S04,(e),"Every frozen Stage02 static-fitting trajectory is retained, including failed and nonqualifying runs.",stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/runs/K1/seed_20261213/training_history.json,sha256:793a68005cf515b7253dd48b99f5425d9e03d24fcf07d0adae88cd7e9078c571,"rows[*].update, graph_balanced_loss",DIAGNOSTIC_ONLY,Exact history curve; log-y display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS04_stage02_all_runs.svg; figS04_stage02_all_runs.pdf; figS04_stage02_all_runs.png
S04,(f),"Every frozen Stage02 static-fitting trajectory is retained, including failed and nonqualifying runs.",stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/runs/K2/seed_20261211/training_history.json,sha256:8867c327312944b89113b44f8f82baae6f7ba59c541d7dff2a958459e46869a5,"rows[*].update, graph_balanced_loss",DIAGNOSTIC_ONLY,Exact history curve; log-y display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS04_stage02_all_runs.svg; figS04_stage02_all_runs.pdf; figS04_stage02_all_runs.png
S04,(f),"Every frozen Stage02 static-fitting trajectory is retained, including failed and nonqualifying runs.",stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/runs/K2/seed_20261212/training_history.json,sha256:7dfb87ab251fdff1656eebeae791b8dd4e7ff3594c4ec933ad90bd4206fbf182,"rows[*].update, graph_balanced_loss",DIAGNOSTIC_ONLY,Exact history curve; log-y display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS04_stage02_all_runs.svg; figS04_stage02_all_runs.pdf; figS04_stage02_all_runs.png
S04,(f),"Every frozen Stage02 static-fitting trajectory is retained, including failed and nonqualifying runs.",stage_02_Particle_Interaction_Operator/06_model/pair_force_pio_static_fitting_v0_2/runs/K2/seed_20261213/training_history.json,sha256:18fa633d6eec68432f9883be44b8ec0198d0fc54e18b3e6f501454dc20c390ad,"rows[*].update, graph_balanced_loss",DIAGNOSTIC_ONLY,Exact history curve; log-y display.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS04_stage02_all_runs.svg; figS04_stage02_all_runs.pdf; figS04_stage02_all_runs.png
S05,a-f,The complete fixed-topology 360-probe matrix retains every historical pass and failure.,stage_03_Dynamic_SPH_Transformer_Hybrid/05_dynamic_solver_implementation/stage03dr/failure_matrix/stage03d_complete_360_row_matrix.json,sha256:a0b925593f3cda97be6826658f308e05635da4dec5e2553dd56bc2aaa39b7991,rows[*] and summary.axis_counts,DIAGNOSTIC_ONLY,Source-order heatmaps; log10 display; frozen summary bars.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS05_stage03_360_probe.svg; figS05_stage03_360_probe.pdf; figS05_stage03_360_probe.png
S06,"a-d,g","The full frozen signal factorization separates task residual, full-gradient activity, direction projection, and attribution class.",stage_04_Local_Causal_Dynamic_Training/05_task_aligned_gradient/stage04cr/directional_projection/directional_projection_and_factors.json,sha256:8cedf91d13901fa0b8958189db1c8c094f2532589e16c63753b0ec3dedab0fdb,rows[*].components and reason_counts,DIAGNOSTIC_ONLY,Component expansion; source order; log display where stated.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS06_stage04_signal_decomposition.svg; figS06_stage04_signal_decomposition.pdf; figS06_stage04_signal_decomposition.png
S06,b,Full gradients were active even where group-direction projections were small.,stage_04_Local_Causal_Dynamic_Training/05_task_aligned_gradient/stage04cr/full_gradient_norm/full_gradient_norms.json,sha256:ce3a30f1f6ce1c0418e0af9bda733ce86cadc826529aca616dd65d37d6e72e75,rows[*].components.*.L2/nonzero_element_count,DIAGNOSTIC_ONLY,Component expansion; log-log scatter.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS06_stage04_signal_decomposition.svg; figS06_stage04_signal_decomposition.pdf; figS06_stage04_signal_decomposition.png
S06,a,D0 and random-model state residual magnitudes are retained in the source-data inventory.,stage_04_Local_Causal_Dynamic_Training/05_task_aligned_gradient/stage04cr/state_residual/state_residual_and_D0_comparison.json,sha256:36c775ac32c36075af5933e05244d7a3598dcace5388a1b436b01383837354b6,rows[*].D0_dimensionless_state_residual_RMS/random_minus_D0_state_RMS,DIAGNOSTIC_ONLY,Exact source-data export.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS06_stage04_signal_decomposition.svg; figS06_stage04_signal_decomposition.pdf; figS06_stage04_signal_decomposition.png
S06,e-f,Frozen RK2 factorization shows velocity-scale and position/density-scale attenuation.,stage_04_Local_Causal_Dynamic_Training/05_task_aligned_gradient/stage04cr/rk2_attenuation/rk2_attenuation.json,sha256:1cd05d45441f1d4f529ba24583a78e800a1cdbf8b75f81550dcdade6241e517a,"V_over_dt_A_mid, X_over_dt2_A_mid, RHO_over_dt2_A_mid",DIAGNOSTIC_ONLY,Exact source-order scatter.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS06_stage04_signal_decomposition.svg; figS06_stage04_signal_decomposition.pdf; figS06_stage04_signal_decomposition.png
S06,h,"The retained Stage04CR terminal status is mixed or unresolved, not qualified.",stage_04_Local_Causal_Dynamic_Training/05_task_aligned_gradient/stage04cr/qualification/stage04cr_summary.json,sha256:3b24b834bca6deeca61f6388706ebc739beb22b5773fddfa26854754035c8cdb,"final_status, reason_counts, stage04c_status_preserved",SUPPORTED,Status-card transcription.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS06_stage04_signal_decomposition.svg; figS06_stage04_signal_decomposition.pdf; figS06_stage04_signal_decomposition.png
S07,a-c,Four frozen historical coordinate probes missed the stable FD-window requirement and remain unresolved.,stage_05_Scale_Aware_Discrete_Defect_Training/02_optimizer_gradient_qualification/stage05cr/failed_probe_reconstruction/original_failed_probe_reconstruction.json,sha256:6faa3f6c940fefc5e7c053fe18bd8780f35fe5d873d796670d0cda854b8489e7,rows[*].original_finite_difference and reverse_jvp,DIAGNOSTIC_ONLY,Exact epsilon traces and pass raster.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS07_stage05_fd_boundary.svg; figS07_stage05_fd_boundary.pdf; figS07_stage05_fd_boundary.png
S07,d,Matched-control availability is reproduced without completing the blocked attribution route.,stage_05_Scale_Aware_Discrete_Defect_Training/02_optimizer_gradient_qualification/stage05cr/matched_controls/matched_control_selection.json,sha256:6d49f3b969fea22b63653df0566472d93954af1d80300be57384f94e78f60ff4,rows[*].observed/required_distinct_control_count,DIAGNOSTIC_ONLY,Exact grouped bars.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS07_stage05_fd_boundary.svg; figS07_stage05_fd_boundary.pdf; figS07_stage05_fd_boundary.png
S07,h,The frozen historical attribution remained incomplete and generated no training or optimizer actions.,stage_05_Scale_Aware_Discrete_Defect_Training/02_optimizer_gradient_qualification/stage05cr/attribution/failure_attribution.json,sha256:7ea54eee2556bb5b392842d1743874270eb29e32b76bb28741078ed39b75d88f,"status, unresolved_count",SUPPORTED,Status transcription.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS07_stage05_fd_boundary.svg; figS07_stage05_fd_boundary.pdf; figS07_stage05_fd_boundary.png
S07,e-f,Blind prospective coordinate/block evidence retains every classification and the failed coverage strata.,stage_05_Scale_Aware_Discrete_Defect_Training/02_optimizer_gradient_qualification/stage05cq/coordinate_block_sampling/coordinate_block_evidence.json,sha256:0b0f7ee41d1027bc062d32f6851c1fc4fc77872db164b046c4cc4c42c5686b8f,"classification_counts, group_lineages, failures",DIAGNOSTIC_ONLY,Exact counts and source-order raster.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS07_stage05_fd_boundary.svg; figS07_stage05_fd_boundary.pdf; figS07_stage05_fd_boundary.png
S07,g,Optimizer-path evidence and all-coordinate coverage are separate claims; coverage did not qualify.,stage_05_Scale_Aware_Discrete_Defect_Training/02_optimizer_gradient_qualification/stage05cq/qualification/stage05cq_qualification_summary.json,sha256:ee4cd3347449dac1812e9c6aa74d90ffe8dbe5bd0eac313c67a71658da28baa2,"hard_gates, failed_hard_gates, terminal_status",SUPPORTED,Status-card transcription.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS07_stage05_fd_boundary.svg; figS07_stage05_fd_boundary.pdf; figS07_stage05_fd_boundary.png
S07,h,"No optimizer, update, training, rollout, or performance action occurred in the blocked route.",stage_05_Scale_Aware_Discrete_Defect_Training/02_optimizer_gradient_qualification/stage05cr/route_decision/stage05cr_route_decision.json,sha256:de9154793780ab0004422c9366625e41ef4726164324b2df878576fef93a806f,"optimizer_instances, optimizer_steps, persistent_parameter_updates, training_runs, neural_rollouts, performance_evaluations",SUPPORTED,Exact counter transcription.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS07_stage05_fd_boundary.svg; figS07_stage05_fd_boundary.pdf; figS07_stage05_fd_boundary.png
S08,a-f,Every frozen Stage06 checkpoint metric remains visible in the complete scan.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06cr/checkpoint_trajectory/all_590_checkpoint_metrics.jsonl,sha256:20659f95663dd9662d2053207bddd84b87b82dc5e1fd1eeb839bb880052a60f0,all JSONL rows and metric fields,DIAGNOSTIC_ONLY,Exact source-order/run trajectories and gate raster.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS08_stage06_590_scan.svg; figS08_stage06_590_scan.pdf; figS08_stage06_590_scan.png
S08,g-h,The frozen Stage06 scan inventory and joint verdict are reproduced without checkpoint reselection.,stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06cr/checkpoint_trajectory/all_590_train_gate_scan.json,sha256:542977edf16ef988b9d2a6408753ee1bbe9c29c1046a78c8408f496147caff9b,"checkpoint_count, per_run, global gate verdicts",SUPPORTED,Exact bars and status-card transcription.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS08_stage06_590_scan.svg; figS08_stage06_590_scan.pdf; figS08_stage06_590_scan.png
S09,a-f,"Every Stage06 TRAIN origin error is retained across six lineages, two variants, three arms, and three seeds.",stage_06_Optimizer_Update_Dynamics_Training/03_formal_training/stage06cr/origin_difficulty/origin_difficulty_map.json,sha256:e50246cd723f8e70f0b7995c453330559383089d2eb5629e4f7c5923524c4f98,TRAIN_rows[*].errors and origin descriptors,DIAGNOSTIC_ONLY,Exact origin traces; variant coordinate offset only.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS09_stage06_six_lineage_origins.svg; figS09_stage06_six_lineage_origins.pdf; figS09_stage06_six_lineage_origins.png
S10,a-f,Every frozen Stage07 checkpoint metric remains visible in the complete scan.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07dr/checkpoint_scan/all_652_checkpoint_metrics.jsonl,sha256:ea5b441bac7d5a1f4edc1634cd49946ff3e40b1f92cf7319fec6678ad13cb9b4,all JSONL rows and metric fields,DIAGNOSTIC_ONLY,Exact source-order/run trajectories and gate raster.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS10_stage07_652_scan.svg; figS10_stage07_652_scan.pdf; figS10_stage07_652_scan.png
S10,g-h,The frozen Stage07 scan inventory and joint verdict are reproduced without checkpoint reselection.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07dr/checkpoint_scan/all_652_checkpoint_gate_scan.json,sha256:587b35b224910efa8d7fe996b07e660fe4896db0bfa47dcf4f18a9593d4e4d97,"checkpoint_count, per_run, global gate verdicts",SUPPORTED,Exact bars and status-card transcription.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS10_stage07_652_scan.svg; figS10_stage07_652_scan.pdf; figS10_stage07_652_scan.png
S11,(a),Every selected-checkpoint Stage07 TRAIN origin is retained for all fourteen lineages and nine arm/seed runs.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07dr/train_fit_attribution/D1_seed20700711.json,sha256:37ec40e7490057d72d85a5732f3baab739c8262394ff01ee154cf668821048e8,selected.lineages.HET_S1_02.origins[*].Q_def,DIAGNOSTIC_ONLY,Exact 9×64 heatmap; shared log display scale.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS11_stage07_fourteen_lineage_origins.svg; figS11_stage07_fourteen_lineage_origins.pdf; figS11_stage07_fourteen_lineage_origins.png
S11,(a),Every selected-checkpoint Stage07 TRAIN origin is retained for all fourteen lineages and nine arm/seed runs.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07dr/train_fit_attribution/D1_seed20700712.json,sha256:0f6539abd12186e54f4b410afb0bff08f17a6fb6fd5cd6ab1b933b5c29256ba3,selected.lineages.HET_S1_02.origins[*].Q_def,DIAGNOSTIC_ONLY,Exact 9×64 heatmap; shared log display scale.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS11_stage07_fourteen_lineage_origins.svg; figS11_stage07_fourteen_lineage_origins.pdf; figS11_stage07_fourteen_lineage_origins.png
S11,(a),Every selected-checkpoint Stage07 TRAIN origin is retained for all fourteen lineages and nine arm/seed runs.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07dr/train_fit_attribution/D1_seed20700713.json,sha256:3a42b3f0e593eb55807ece69acf6260af1fadf594ca1d2e6050288d44b5537a6,selected.lineages.HET_S1_02.origins[*].Q_def,DIAGNOSTIC_ONLY,Exact 9×64 heatmap; shared log display scale.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS11_stage07_fourteen_lineage_origins.svg; figS11_stage07_fourteen_lineage_origins.pdf; figS11_stage07_fourteen_lineage_origins.png
S11,(a),Every selected-checkpoint Stage07 TRAIN origin is retained for all fourteen lineages and nine arm/seed runs.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07dr/train_fit_attribution/D2_seed20700711.json,sha256:99302ce76226028ab0889f0d82105293863b738ccb7e637ee7e29f62da63d5bc,selected.lineages.HET_S1_02.origins[*].Q_def,DIAGNOSTIC_ONLY,Exact 9×64 heatmap; shared log display scale.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS11_stage07_fourteen_lineage_origins.svg; figS11_stage07_fourteen_lineage_origins.pdf; figS11_stage07_fourteen_lineage_origins.png
S11,(a),Every selected-checkpoint Stage07 TRAIN origin is retained for all fourteen lineages and nine arm/seed runs.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07dr/train_fit_attribution/D2_seed20700712.json,sha256:919a2676ec54243dcd138c1e233291da617d7b4a41c1212b2d79e5492818a6bb,selected.lineages.HET_S1_02.origins[*].Q_def,DIAGNOSTIC_ONLY,Exact 9×64 heatmap; shared log display scale.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS11_stage07_fourteen_lineage_origins.svg; figS11_stage07_fourteen_lineage_origins.pdf; figS11_stage07_fourteen_lineage_origins.png
S11,(a),Every selected-checkpoint Stage07 TRAIN origin is retained for all fourteen lineages and nine arm/seed runs.,stage_07_Heterogeneous_Development_Pool/05_formal_retraining/stage07dr/train_fit_attribution/D2_seed20700713.json,sha256:70e534d315653d027360e090957706af30ee902b01732841d43c49cd693844fd,selected.lineages.HET_S1_02.origins[*].Q_def,DIAGNOSTIC_ONLY,Exact 9×64 heatmap; shared log display scale.,publication_cmame_v1/04_figures/00_style/build_supplementary_figures.py,figS11_stage07_fourteen_lineage_origins.svg; figS11_stage07_fourteen_lineage_origins.pdf; figS11_stage07_fourteen_lineage_origins.png
